gfsCode,revStreamName,agencyName,companyName,year,payment,paymentUSD
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Avdarbayan LLC,2012,99e4,733.3713599964442
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Avdarbayan LLC,2012,22092e3,16365.29301519338
113E,2.1.1 Real estate tax,Local Department of Taxation,Avdarbayan LLC,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Avdarbayan LLC,2012,50103e3,37115.25782818368
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Avdarbayan LLC,2012,0,0
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Avdarbayan LLC,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Avdarbayan LLC,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Avdarbayan LLC,2012,0,0
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Avdarbayan LLC,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Avdarbayan LLC,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Avdarbayan LLC,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Avdarbayan LLC,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Avdarbayan LLC,2012,587e3,434.8373619372856
1151E,1.1.2 Customs tax,Customs Office,Avdarbayan LLC,2012,0,0
116E,1.6.4 Other (State Budget),Other,Avdarbayan LLC,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Avdarbayan LLC,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Avdarbayan LLC,2012,3381e3,2504.5743112605837
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Avdarbayan LLC,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Avdarbayan LLC,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Avdarbayan LLC,2012,3635e3,2692.73221574452
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Avdarbayan LLC,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Avdarbayan LLC,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Avdarbayan LLC,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Avdarbayan LLC,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Avdarbayan LLC,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Avdarbayan LLC,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Avdarbayan LLC,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Avdarbayan LLC,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Avdarbayan LLC,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Avdarbayan LLC,2012,0,0
1421E,Service charges paid to local administration,Not available,Avdarbayan LLC,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Avdarbayan LLC,2012,0,0
1421E,Service fee for foreign experts and workers,Not available,Avdarbayan LLC,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Avdarbayan LLC,2012,316e3,234.08621187765291
1422E,1.3.1 Customs service fee,Customs Office,Avdarbayan LLC,2012,0,0
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Avdarbayan LLC,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Avdarbayan LLC,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Avdarbayan LLC,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Avdarbayan LLC,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Avdarbayan LLC,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Avdarbayan LLC,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Avdarbayan LLC,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Avdarbayan LLC,2012,137e3,101.4867437570837
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Avdarbayan LLC,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Avdarbayan LLC,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,AGM Mining,2012,20555e3,15226.715459320112
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",AGM Mining,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,AGM Mining,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,AGM Mining,2012,877e3,649.663315875638
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,AGM Mining,2012,538e3,398.5391835132192
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,AGM Mining,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,AGM Mining,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,AGM Mining,2012,69e4,511.1376145429763
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,AGM Mining,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,AGM Mining,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,AGM Mining,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",AGM Mining,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,AGM Mining,2012,899e3,665.9604572088923
1151E,1.1.2 Customs tax,Customs Office,AGM Mining,2012,256e3,189.6394627869593
116E,1.6.4 Other (State Budget),Other,AGM Mining,2012,0,0
116E,2.5.4 Other (Local Budget),Other,AGM Mining,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,AGM Mining,2012,4258e4,31542.376271362216
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,AGM Mining,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,AGM Mining,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,AGM Mining,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,AGM Mining,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,AGM Mining,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,AGM Mining,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,AGM Mining,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,AGM Mining,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,AGM Mining,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,AGM Mining,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,AGM Mining,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,AGM Mining,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,AGM Mining,2012,0,0
1421E,Service charges paid to local administration,Not available,AGM Mining,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,AGM Mining,2012,1260662,933.872126702866
1421E,Service fee for foreign experts and workers,Not available,AGM Mining,2012,0,0
